female,male,name
3,17,Keith Ross
2,15,Romain
1,5,Shuyang Ling
3,9,Enric Junque
4,3,Zhibin Chen
3,8,Gus Xia
0,7,Ratan Dey
0,2,Xianbin Gu
4,16,Siyao Guo
5,15,Oliver Marin
0,0,Zheng Zhang
4,16,Bruno Abrahao
0,0,Foster Provost
2,18,Yevgeniy Dodis
3,17,Yong Liu
4,2,Anasse Bari
0,0,Megan Coffee
0,0,Rafael M
0,0,Moraes
0,1,Doruk Kilitcioglu
3,17,Richard Bonneau
0,0,Jonathan Nagler
2,10,Jane Skok
3,17,Joan Bruna
0,0,Emily Denton
2,18,Kyunghyun Cho
0,0,Sébastien Jean
0,0,Clement Farabet
4,9,Azza Abouzied
0,0,Maeda F
0,0,Hanafi
0,0,Miro Mannino
4,16,Nizar Habash
1,8,Nasser Zalmout
3,15,Salam Khalifa
1,4,Bashar Alhafni
4,16,Talal Rahwan
1,6,Marcin Waniek
5,15,Yasir Zaki
0,0,Talal Ahmad
2,18,Christina Pöpper
0,0,Shujaat Mirza
