Africans,British,East Asian,East European,French,Germanic,Hispanic,Indian,Italian,Japanese,Jewish,Muslim,Nordic,name
0.0,0.0,10.0,0.0,2.0,1.0,1.0,5.0,0.0,0.0,1.0,0.0,0.0,Keith Ross
0.0,8.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,2.0,Romain
0.0,1.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Shuyang Ling
0.0,8.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Enric Junque
0.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Zhibin Chen
0.0,1.0,5.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,Gus Xia
1.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,Ratan Dey
0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Xianbin Gu
0.0,3.0,1.0,3.0,2.0,1.0,2.0,2.0,1.0,0.0,5.0,0.0,0.0,Siyao Guo
0.0,1.0,0.0,0.0,5.0,0.0,7.0,0.0,3.0,0.0,3.0,1.0,0.0,Oliver Marin
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Zheng Zhang
0.0,4.0,0.0,0.0,1.0,0.0,6.0,4.0,3.0,0.0,1.0,1.0,0.0,Bruno Abrahao
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Foster Provost
1.0,7.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,0.0,4.0,0.0,0.0,Yevgeniy Dodis
0.0,2.0,10.0,0.0,1.0,0.0,0.0,5.0,1.0,0.0,1.0,0.0,0.0,Yong Liu
0.0,2.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Anasse Bari
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Megan Coffee
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rafael M
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Moraes
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Doruk Kilitcioglu
0.0,12.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,3.0,0.0,1.0,Richard Bonneau
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Jonathan Nagler
0.0,5.0,0.0,0.0,0.0,1.0,0.0,2.0,3.0,0.0,1.0,0.0,0.0,Jane Skok
1.0,5.0,1.0,2.0,2.0,0.0,2.0,1.0,0.0,0.0,4.0,2.0,0.0,Joan Bruna
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Emily Denton
2.0,1.0,5.0,2.0,3.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,1.0,Kyunghyun Cho
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sébastien Jean
0.0,7.0,0.0,0.0,5.0,1.0,2.0,1.0,1.0,0.0,2.0,1.0,0.0,Yann LeCun
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Clement Farabet
1.0,1.0,2.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,3.0,1.0,0.0,Azza Abouzied
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Maeda F
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Hanafi
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Miro Mannino
2.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,8.0,0.0,Nizar Habash
0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,0.0,Nasser Zalmout
2.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,10.0,0.0,Salam Khalifa
0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,Bashar Alhafni
0.0,8.0,2.0,4.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,1.0,0.0,Talal Rahwan
0.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,Marcin Waniek
1.0,3.0,2.0,1.0,0.0,1.0,2.0,6.0,1.0,0.0,0.0,3.0,0.0,Yasir Zaki
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Talal Ahmad
1.0,4.0,0.0,1.0,0.0,5.0,1.0,1.0,0.0,0.0,3.0,1.0,3.0,Christina Pöpper
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Shujaat Mirza
